Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
NXT Level Protein Shake Milky Chocolate Flavor 500 ml,"€3,19",JA,10.0 g,4.2 g,0.4 g,257.0 kJ,https://www.jumbo.com/producten/nxt-level-protein-shake-milky-chocolate-flavor-500-ml-457926FLS,2025-12-09 16:02:36
NXT Level Protein Shake Chocolate Flavor 330 ml,"€2,33",JA,"7,6g","4,1g","0,3g",212kJ 51kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-chocolate-flavor-330-ml-472613FLS,2025-12-09 16:02:39
Jumbo High Protein Shake Vanille Smaak 310 ml,"€1,85",JA,"8,0 g","4,1 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-vanille-smaak-310-ml-522116FLS,2025-12-09 16:02:42
Zuivelhoeve XXL Nutrition Fit Drink Vanilla Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,255 kJ / 61 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-vanilla-flavor-protein-drink-330-ml-707504FLS,2025-12-09 16:02:44
Starbucks Caramel Hazelnut Flavour Protein Drink with Coffee 330 ml,"€2,69",JA,6.1g,4.0g,1.1g,215kJ/51kcal,https://www.jumbo.com/producten/starbucks-caramel-hazelnut-flavour-protein-drink-with-coffee-330-ml-680652FLS,2025-12-09 16:02:47
Starbucks Protein Drink with Coffee Chocolate Mocha Flavour 330 ml,"€2,69",JA,6.1g,4.1g,1.1g,218kJ/52kcal,https://www.jumbo.com/producten/starbucks-protein-drink-with-coffee-chocolate-mocha-flavour-330-ml-680584FLS,2025-12-09 16:02:49
Lindahls Protein Smaak Aardbei Melkdrank 500 ml,"€1,99",JA,6.0 g,5.3 g,0.3 g,205 kJ,https://www.jumbo.com/producten/lindahls-protein-smaak-aardbei-melkdrank-500-ml-652394CUP,2025-12-09 16:02:52
Lindahls Protein Smaak Vanille Melkdrank 500 ml,"€1,99",JA,6.0 g,5.6 g,0.3 g,210 kJ,https://www.jumbo.com/producten/lindahls-protein-smaak-vanille-melkdrank-500-ml-652393CUP,2025-12-09 16:02:55
NXT Level Banana Flavor Protein Shake 330 ml,"€2,33",JA,7.6 g,3.0 g,0.2 g,188.0 kJ,https://www.jumbo.com/producten/nxt-level-banana-flavor-protein-shake-330-ml-472614FLS,2025-12-09 16:02:57
NXT Level Strawberry Flavor Protein Shake 330 ml,"€2,35",JA,7.6 g,2.9 g,0.1 g,183.0 kJ,https://www.jumbo.com/producten/nxt-level-strawberry-flavor-protein-shake-330-ml-472615FLS,2025-12-09 16:03:00
