Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Jumbo Salted Caramel Stracciatella 70 g - Bevat Alcohol,"€1,39",JA,3.5 g,39.1 g,10.3 g,1149.0 kJ,https://www.jumbo.com/producten/jumbo-salted-caramel-stracciatella-70-g-bevat-alcohol-677425CUP,2025-12-09 15:18:14
Jumbo Cappuccino Mousse met Biscuit 75g - Bevat Alcohol,"€1,55",JA,3.0 g,36.8 g,11.5 g,1157.0 kJ,https://www.jumbo.com/producten/jumbo-cappuccino-mousse-met-biscuit-75g-bevat-alcohol-677375CUP,2025-12-09 15:18:16
Ehrmann Grand Dessert Café au Lait 190 g,"€1,29",JA,"2,6 g",17 g,"4,9 g",515 kJ (123 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-cafe-au-lait-190-g-577187BAK,2025-12-09 15:18:19
Oddlygood Dreamy Berries Dessert 130g,"€1,79",JA,,,,,https://www.jumbo.com/producten/oddlygood-dreamy-berries-dessert-130g-607571CUP,2025-12-09 15:18:22
Jumbo Romige Chocolade- Vanille Smaak Dubbelvla 1 L,"€1,89",JA,"2,5 g","14,5 g","2,8 g",kJ 396,https://www.jumbo.com/producten/jumbo-romige-chocolade-vanille-smaak-dubbelvla-1-l-31811PAK,2025-12-09 15:18:24
Jumbo Vanille Smaak Mousse & Cookie 65g,"€1,39",JA,2.4 g,26.9 g,9.6 g,881.0 kJ,https://www.jumbo.com/producten/jumbo-vanille-smaak-mousse-cookie-65g-677377CUP,2025-12-09 15:18:27
Alpro Dessert Vanille Smaak Houdbaar 525g,"€1,99",JA,"3,0 g","11,3 g","1,7 g",317 kJ / 75 kcal,https://www.jumbo.com/producten/alpro-dessert-vanille-smaak-houdbaar-525g-270893STK,2025-12-09 15:18:29
Hertog IJs IJssalon Slagroom 900ml,"€4,75",JA,"3,7 g",23 g,13 g,925 kJ,https://www.jumbo.com/producten/hertog-ijs-ijssalon-slagroom-900ml-230352STK,2025-12-09 15:18:32
Droom Rijstdessert Vanille Smaak 200 g,"€0,79",JA,3.4 g,21 g,1.3 g,464 kJ,https://www.jumbo.com/producten/droom-rijstdessert-vanille-smaak-200-g-578752CUP,2025-12-09 15:18:35
Ehrmann Grand Dessert Double Choc 190 g,"€1,29",JA,"2,8 g",17 g,"4,4 g",499 kJ (119 kcal),https://www.jumbo.com/producten/ehrmann-grand-dessert-double-choc-190-g-577188BAK,2025-12-09 15:18:37
Oddlygood Dreamy Caramel Dessert 130g,"€1,79",JA,,,,,https://www.jumbo.com/producten/oddlygood-dreamy-caramel-dessert-130g-607568CUP,2025-12-09 15:18:40
Ehrmann Grand Dessert Vanilla 4 x 190g,"€4,76",JA,,,,,https://www.jumbo.com/producten/ehrmann-grand-dessert-vanilla-4-x-190g-618248STK,2025-12-09 15:18:42
Jumbo Romige Vla Vanillesmaak 1 L,"€1,59",JA,"2,4 g","13,6 g","2,8 g",kJ 377,https://www.jumbo.com/producten/jumbo-romige-vla-vanillesmaak-1-l-236884PAK,2025-12-09 15:18:45
Jumbo Lemoncello Toetje met Citroensaus 75 g - Bevat Alcohol,"€1,49",JA,2.2 g,30.8 g,6.4 g,827.0 kJ,https://www.jumbo.com/producten/jumbo-lemoncello-toetje-met-citroensaus-75-g-bevat-alcohol-677424CUP,2025-12-09 15:18:48
Melkunie Protein Chocolate Flavoured Shake 250 ml,"€1,69",JA,8.1 g,6.3 g,1.2 g,280 kJ 73 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-250-ml-406774FLS,2025-12-09 15:18:50
