Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
Jumbo Lemoncello Toetje met Citroensaus 75 g - Bevat Alcohol,"€1,49",JA,2.2 g,30.8 g,6.4 g,827.0 kJ,https://www.jumbo.com/producten/jumbo-lemoncello-toetje-met-citroensaus-75-g-bevat-alcohol-677424CUP,2025-12-09 15:18:48,1.49,2.2,75.0,1.65,0.90303,0.822,0.0
Melkunie Protein Chocolate Flavoured Shake 250 ml,"€1,69",JA,8.1 g,6.3 g,1.2 g,280 kJ 73 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-250-ml-406774FLS,2025-12-09 15:18:50,1.69,8.1,250.0,20.25,0.083457,0.881,1.0
Melkunie Milk Shake Aardbei Smaak 200 ml,"€1,39",JA,,,,,https://www.jumbo.com/producten/melkunie-milk-shake-aardbei-smaak-200-ml-576925BUS,2025-12-09 15:18:53,1.39,,200.0,,,0.9,
Melkunie Milk Shake Vanille Smaak 200 ml,"€1,39",JA,,,,,https://www.jumbo.com/producten/melkunie-milk-shake-vanille-smaak-200-ml-576927CUP,2025-12-09 15:18:55,1.39,,200.0,,,0.9,
Melkunie Protein Raspberry & Strawberry Flavoured Shake 225 ml,"€1,69",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-225-ml-192505PAK,2025-12-09 15:18:58,1.69,,225.0,,,0.9,
WeCare Flavour French Vanilla Meal Replacement Shake 436 g,"€16,49",JA,13 g,58 g,15 g,1814 kJ,https://www.jumbo.com/producten/wecare-flavour-french-vanilla-meal-replacement-shake-436-g-623487POT,2025-12-09 15:19:00,16.49,13.0,436.0,56.68,0.290932,0.73,0.9
Jumbo High Protein Shake Vanille Smaak 310 ml,"€1,85",JA,"8,0 g","4,1 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-vanille-smaak-310-ml-522116FLS,2025-12-09 15:19:03,1.85,8.0,310.0,24.8,0.074597,0.88,1.0
Melkunie Protein Raspberry & Strawberry Shake 8 x 225 ml,"€13,52",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-shake-8-x-225-ml-192505DSL,2025-12-09 15:19:06,13.52,,1800.0,,,0.9,
NXT Level Vanilla Flavor Protein Shake 500 ml,"€2,99",JA,10.0 g,4.0 g,0.2 g,247.0 kJ,https://www.jumbo.com/producten/nxt-level-vanilla-flavor-protein-shake-500-ml-572979FLS,2025-12-09 15:19:08,2.99,10.0,500.0,50.0,0.0598,0.7,1.0
NXT Level Banana Flavor Protein Shake 330 ml,"€2,33",JA,7.6 g,3.0 g,0.2 g,188.0 kJ,https://www.jumbo.com/producten/nxt-level-banana-flavor-protein-shake-330-ml-472614FLS,2025-12-09 15:19:11,2.33,7.6,330.0,25.08,0.092903,0.676,0.95
NXT Level Strawberry Flavor Protein Shake 330 ml,"€2,35",JA,7.6 g,2.9 g,0.1 g,183.0 kJ,https://www.jumbo.com/producten/nxt-level-strawberry-flavor-protein-shake-330-ml-472615FLS,2025-12-09 15:19:13,2.35,7.6,330.0,25.08,0.0937,0.676,0.95
NXT Level Ice Coffee Flavor Protein Shake 330 ml,"€2,27",JA,"7,5g","3,9g","0,1g",201kJ 48kcal,https://www.jumbo.com/producten/nxt-level-ice-coffee-flavor-protein-shake-330-ml-457928FLS,2025-12-09 15:19:16,2.27,7.5,330.0,24.75,0.091717,0.675,0.938
NXT Level Protein Shake Vanilla Flavor 330 ml,"€2,27",JA,"7,6g","3,9g","0,1g",202kJ 48kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-vanilla-flavor-330-ml-458003FLS,2025-12-09 15:19:19,2.27,7.6,330.0,25.08,0.09051,0.676,0.95
Melkunie Protein Chocolate Flavoured Shake 4x 250 ml,"€6,76",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-4x-250-ml-736563STK,2025-12-09 15:19:21,6.76,,1000.0,,,0.9,
XXL Nutrition Shaker 800ml,"€4,99",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-shaker-800ml-586787BKR,2025-12-09 15:19:24,4.99,,800.0,,,0.7,
Jumbo High Protein Shake Chocolade Smaak 310 ml,"€1,85",JA,"8,0 g","4,0 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-chocolade-smaak-310-ml-522115FLS,2025-12-09 15:19:26,1.85,8.0,310.0,24.8,0.074597,0.88,1.0
NXT Level Protein Shake Milky Chocolate Flavor 500 ml,"€3,19",JA,10.0 g,4.2 g,0.4 g,257.0 kJ,https://www.jumbo.com/producten/nxt-level-protein-shake-milky-chocolate-flavor-500-ml-457926FLS,2025-12-09 15:19:29,3.19,10.0,500.0,50.0,0.0638,0.9,1.0
NXT Level Protein Shake Chocolate Flavor 330 ml,"€2,33",JA,"7,6g","4,1g","0,3g",212kJ 51kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-chocolate-flavor-330-ml-472613FLS,2025-12-09 15:19:32,2.33,7.6,330.0,25.08,0.092903,0.676,0.95
Melkunie Protein Raspberry & Strawberry Flavoured Shake 3x 225 ml,"€5,07",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-3x-225-ml-736571STK,2025-12-09 15:19:34,5.07,,675.0,,,0.9,
Melkunie Protein Chocolate Flavoured Shake 4x 250 ml,"€0,00",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-4x-250-ml-736525STK,2025-12-09 15:19:37,0.0,,1000.0,,,0.9,
Melkunie Protein Strawberry Vanilla Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-vanilla-yogurt-drink-330-ml-521731FLS,2025-12-09 15:19:39,1.99,,330.0,,,0.9,
HiPRO Protein Drink Framboos Aardbei 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-framboos-aardbei-300-ml-433886FLS,2025-12-09 15:19:42,2.49,,300.0,,,0.7,
HiPRO Protein Drink Perzik Passievrucht 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-perzik-passievrucht-300-ml-547423FLS,2025-12-09 15:19:45,2.49,,300.0,,,0.7,
HiPRO Protein Drink Mango 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-300-ml-494984FLS,2025-12-09 15:19:47,2.49,,300.0,,,0.7,
Melkunie Protein Blueberry Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-blueberry-yogurt-drink-330-ml-521732FLS,2025-12-09 15:19:50,1.99,,330.0,,,0.9,
Jumbo's Creamy Berry Much Smoothie 250 ml,"€2,79",NEE,1.5 g,11.8 g,1.2 g,kJ 283 / kcal 67,https://www.jumbo.com/producten/jumbo-s-creamy-berry-much-smoothie-250-ml-720440FLS,2025-12-09 15:19:52,2.79,1.5,250.0,3.75,0.744,0.815,0.0
Jumbo's Creamy Passion Paradise Smoothie 250 ml,"€2,79",NEE,1.2 g,11.7 g,2.6 g,328.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-passion-paradise-smoothie-250-ml-729331FLS,2025-12-09 15:19:55,2.79,1.2,250.0,3.0,0.93,0.812,0.0
Jumbo's Creamy Cacao Berry Smoothie 250 ml,"€2,79",NEE,1.4 g,10.5 g,3.0 g,kJ 329 / kcal 79,https://www.jumbo.com/producten/jumbo-s-creamy-cacao-berry-smoothie-250-ml-720442FLS,2025-12-09 15:19:58,2.79,1.4,250.0,3.5,0.797143,0.814,0.0
Jumbo's Creamy Cloudy Coffee Smoothie 250 ml,"€2,79",NEE,1.8 g,10.3 g,2.1 g,kJ 296 / kcal 71,https://www.jumbo.com/producten/jumbo-s-creamy-cloudy-coffee-smoothie-250-ml-720443FLS,2025-12-09 15:20:00,2.79,1.8,250.0,4.5,0.62,0.818,0.0
Jumbo's Creamy Coconut Citrus Crush Smoothie 250 ml,"€2,79",NEE,0.9 g,10.4 g,2.4 g,291.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-coconut-citrus-crush-smoothie-250-ml-729332FLS,2025-12-09 15:20:03,2.79,0.9,250.0,2.25,1.24,0.809,0.0
Jumbo's Fruity Sweet Potato Spiced Sap 250 ml,"€2,79",NEE,0.9 g,11.4 g,0.2 g,224.0 kJ,https://www.jumbo.com/producten/jumbo-s-fruity-sweet-potato-spiced-sap-250-ml-729330FLS,2025-12-09 15:20:05,2.79,0.9,250.0,2.25,1.24,0.809,0.0
Jumbo's Fruity Chai Noël 250ML,"€2,79",NEE,0.3 g,9.0 g,0.0 g,kJ 165 / kcal 39,https://www.jumbo.com/producten/jumbo-s-fruity-chai-noel-250ml-722456FLS,2025-12-09 15:20:08,2.79,0.3,250.0,0.75,3.72,0.803,0.0
Jumbo's Fruity Ruby Roots Royal Fruitsap 250 ml,"€2,79",NEE,0.5 g,9.0 g,0.1 g,kJ 167 / kcal 39,https://www.jumbo.com/producten/jumbo-s-fruity-ruby-roots-royal-fruitsap-250-ml-720434FLS,2025-12-09 15:20:10,2.79,0.5,250.0,1.25,2.232,0.805,0.0
Jumbo's Fruity Tropical Chili Twist Kokoswater Sap 250 ml,"€2,79",NEE,0.9 g,9.4 g,0.2 g,kJ 191 / kcal 45,https://www.jumbo.com/producten/jumbo-s-fruity-tropical-chili-twist-kokoswater-sap-250-ml-720435FLS,2025-12-09 15:20:13,2.79,0.9,250.0,2.25,1.24,0.809,0.0
Jumbo's Fruity Citrus Wave Sap 250 ml,"€2,79",NEE,0.7 g,9.3 g,0.1 g,kJ 179 / kcal 42,https://www.jumbo.com/producten/jumbo-s-fruity-citrus-wave-sap-250-ml-720436FLS,2025-12-09 15:20:15,2.79,0.7,250.0,1.75,1.594286,0.807,0.0
"Jumbo Verse Smoothie Aardbei, Appel & Banaan 750ML","€3,29",JA,0.5 g,10.3 g,0.0 g,kJ 190 / kcal 45,https://www.jumbo.com/producten/jumbo-verse-smoothie-aardbei-appel-banaan-750ml-617391FLS,2025-12-09 15:20:18,3.29,0.5,750.0,3.75,0.877333,0.805,0.0
Jumbo Verse Smoothie Mango & Passievrucht 750ML,"€3,99",JA,0.8 g,14.2 g,0.2 g,kJ 273 / kcal 64,https://www.jumbo.com/producten/jumbo-verse-smoothie-mango-passievrucht-750ml-617392FLS,2025-12-09 15:20:20,3.99,0.8,750.0,6.0,0.665,0.808,0.0
Jumbo Vers Geperste Smoothie Aardbei Appel & Banaan 500 ml,"€2,59",JA,"0,5 g","10,3 g","0,0 g",kJ 190 / kcal 45,https://www.jumbo.com/producten/jumbo-vers-geperste-smoothie-aardbei-appel-banaan-500-ml-531836FLS,2025-12-09 15:20:23,2.59,0.5,500.0,2.5,1.036,0.805,0.0
Jumbo's Creamy Berry Much Smoothie 250 ml,"€2,79",JA,1.5 g,11.8 g,1.2 g,kJ 283 / kcal 67,https://www.jumbo.com/producten/jumbo-s-creamy-berry-much-smoothie-250-ml-720440FLS,2025-12-09 15:20:26,2.79,1.5,250.0,3.75,0.744,0.815,0.0
"Jumbo Vers Geperste Smoothie Appel, Avocado, Kokos & Mango 500 ml","€2,59",JA,"0,8 g","10,9 g","3,1 g",kJ 321 / kcal 77,https://www.jumbo.com/producten/jumbo-vers-geperste-smoothie-appel-avocado-kokos-mango-500-ml-585791FLS,2025-12-09 15:20:28,2.59,0.8,500.0,4.0,0.6475,0.808,0.0
Jumbo Vers Geperste Smoothie Mango & Passievrucht 500 ml,"€2,69",JA,"0,8 g","14,2 g","0,2 g",kJ 273 / kcal 64,https://www.jumbo.com/producten/jumbo-vers-geperste-smoothie-mango-passievrucht-500-ml-532129FLS,2025-12-09 15:20:31,2.69,0.8,500.0,4.0,0.6725,0.808,0.0
Jumbo's Creamy Passion Paradise Smoothie 250 ml,"€2,79",JA,1.2 g,11.7 g,2.6 g,328.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-passion-paradise-smoothie-250-ml-729331FLS,2025-12-09 15:20:33,2.79,1.2,250.0,3.0,0.93,0.812,0.0
Jumbo's Creamy Cacao Berry Smoothie 250 ml,"€2,79",JA,1.4 g,10.5 g,3.0 g,kJ 329 / kcal 79,https://www.jumbo.com/producten/jumbo-s-creamy-cacao-berry-smoothie-250-ml-720442FLS,2025-12-09 15:20:36,2.79,1.4,250.0,3.5,0.797143,0.814,0.0
Jumbo's Creamy Coconut Citrus Crush Smoothie 250 ml,"€2,79",JA,0.9 g,10.4 g,2.4 g,291.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-coconut-citrus-crush-smoothie-250-ml-729332FLS,2025-12-09 15:20:38,2.79,0.9,250.0,2.25,1.24,0.809,0.0
Jumbo's Creamy Cloudy Coffee Smoothie 250 ml,"€2,79",JA,1.8 g,10.3 g,2.1 g,kJ 296 / kcal 71,https://www.jumbo.com/producten/jumbo-s-creamy-cloudy-coffee-smoothie-250-ml-720443FLS,2025-12-09 15:20:41,2.79,1.8,250.0,4.5,0.62,0.818,0.0
"Jumbo Verse Smoothie Chia, Appel & Mango 500ML","€2,59",JA,0.6 g,11.1 g,0.6 g,kJ 230 / kcal 54,https://www.jumbo.com/producten/jumbo-verse-smoothie-chia-appel-mango-500ml-685874FLS,2025-12-09 15:20:44,2.59,0.6,500.0,3.0,0.863333,0.806,0.0
Jumbo's Fruity Chai Noël 250ML,"€2,79",JA,0.3 g,9.0 g,0.0 g,kJ 165 / kcal 39,https://www.jumbo.com/producten/jumbo-s-fruity-chai-noel-250ml-722456FLS,2025-12-09 15:20:46,2.79,0.3,250.0,0.75,3.72,0.803,0.0
"Jumbo Verse Smoothie Ananas, Kokos & Banaan 3 x 250ML","€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-verse-smoothie-ananas-kokos-banaan-3-x-250ml-603648STK,2025-12-09 15:20:49,5.97,,750.0,,,0.9,
"Jumbo Verse Smoothie Aardbei, Appel & Banaan 3 x 250ML","€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-verse-smoothie-aardbei-appel-banaan-3-x-250ml-603674STK,2025-12-09 15:20:51,5.97,,750.0,,,0.9,
"Jumbo Verse Smoothie Yoghurt, Bosvruchten, Banaan & Appel 3 x 250ML","€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-verse-smoothie-yoghurt-bosvruchten-banaan-appel-3-x-250ml-603917STK,2025-12-09 15:20:54,5.97,,750.0,,,0.9,
Jumbo Smoothie Mango Passievrucht 3 x 250ML,"€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-smoothie-mango-passievrucht-3-x-250ml-629348STK,2025-12-09 15:20:56,5.97,,750.0,,,0.9,
Jumbo Smoothie Aardbei Banaan met Appel 250ML,"€1,59",JA,0.2 g,12.4 g,0.1 g,225.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-aardbei-banaan-met-appel-250ml-641684FLS,2025-12-09 15:20:59,1.59,0.2,250.0,0.5,3.18,0.802,0.0
Jumbo Smoothie Mango Passievrucht met Appel 250ML,"€1,79",JA,"0,3 g","12,7 g","0,2 g",kJ 232 / kcal 55,https://www.jumbo.com/producten/jumbo-smoothie-mango-passievrucht-met-appel-250ml-641683FLS,2025-12-09 15:21:01,1.79,0.3,250.0,0.75,2.386667,0.803,0.0
Jumbo Smoothie Ananas Kokos met Appel 250ML,"€1,59",JA,0.9 g,11.4 g,3.4 g,339.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-ananas-kokos-met-appel-250ml-641685FLS,2025-12-09 15:21:04,1.59,0.9,250.0,2.25,0.706667,0.809,0.0
innocent super smoothie berry energise 750ml,"€3,99",JA,,,,,https://www.jumbo.com/producten/innocent-super-smoothie-berry-energise-750ml-523332FLS,2025-12-09 15:21:07,3.99,,750.0,,,0.7,
"Jumbo Smoothie Mix Proteïne Banaan, Mango, Drakenfruit & Erwteneiwit 250 g","€2,49",JA,4.0 g,14.9 g,0.7 g,361.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-banaan-mango-drakenfruit-erwteneiwit-250-g-698541STK,2025-12-09 15:21:09,2.49,4.0,250.0,10.0,0.249,0.89,0.0
"Jumbo Smoothie Mix Proteïne Mango, Banaan, Spinazie & Erwteneiwit 250 g","€2,49",JA,4.1 g,13.9 g,0.56 g,340.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-mango-banaan-spinazie-erwteneiwit-250-g-698504STK,2025-12-09 15:21:12,2.49,4.1,250.0,10.25,0.242927,0.891,0.0
Jumbo Smoothie Aardbei Banaan met Appel 750ML,"€2,99",JA,"0,2 g","12,4 g","0,1 g",kJ 221 / kcal 52,https://www.jumbo.com/producten/jumbo-smoothie-aardbei-banaan-met-appel-750ml-640826FLS,2025-12-09 15:21:14,2.99,0.2,750.0,1.5,1.993333,0.802,0.0
innocent super smoothie berry energise 300ml,"€2,79",JA,,,,,https://www.jumbo.com/producten/innocent-super-smoothie-berry-energise-300ml-523330FLS,2025-12-09 15:21:17,2.79,,300.0,,,0.7,
DubbelDrank Mango & Passievrucht 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/dubbeldrank-mango-passievrucht-1-l-383965PAK,2025-12-09 15:21:20,2.49,,1000.0,,,0.7,
Jumbo Duo Drank Peer Appel 1 L,"€1,69",JA,,,,,https://www.jumbo.com/producten/jumbo-duo-drank-peer-appel-1-l-135749PAK,2025-12-09 15:21:22,1.69,,1000.0,,,0.9,
DubbelDrank Abrikoos & Sinaasappel 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/dubbeldrank-abrikoos-sinaasappel-1-l-166466PAK,2025-12-09 15:21:25,2.49,,1000.0,,,0.7,
Jumbo 100% Puur Druivensap 1 L,"€1,99",JA,,,,,https://www.jumbo.com/producten/jumbo-100-puur-druivensap-1-l-135043PAK,2025-12-09 15:21:27,1.99,,1000.0,,,0.9,
Jumbo Ananassap 1 L,"€2,69",JA,,,,,https://www.jumbo.com/producten/jumbo-ananassap-1-l-135039PAK,2025-12-09 15:21:30,2.69,,1000.0,,,0.9,
Fruity Juice Rood Fruit 2 L,"€3,69",JA,0.1 g,9.8 g,0.1 g,178 kJ (42 kcal),https://www.jumbo.com/producten/fruity-juice-rood-fruit-2-l-687357CAN,2025-12-09 15:21:33,3.69,0.1,2000.0,2.0,1.845,0.601,0.0
Maaza Mango Fruit Drink 1 L,"€2,19",JA,0.1 g,11.2 g,0 g,192 kJ / 46 kcal,https://www.jumbo.com/producten/maaza-mango-fruit-drink-1-l-62389PAK,2025-12-09 15:21:35,2.19,0.1,1000.0,1.0,2.19,0.601,0.0
Jumbo Cranberry Drank 1 L,"€1,79",JA,"0,3 g","8,4 g",0 g,kJ 157 / kcal 37,https://www.jumbo.com/producten/jumbo-cranberry-drank-1-l-509694FLS,2025-12-09 15:21:38,1.79,0.3,1000.0,3.0,0.596667,0.803,0.0
Jumbo Boomgaard Perensap 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/jumbo-boomgaard-perensap-1-l-183735FLS,2025-12-09 15:21:41,2.49,,1000.0,,,0.9,
Jumbo Rode Grapefruitsap 1 L,"€1,89",JA,,,,,https://www.jumbo.com/producten/jumbo-rode-grapefruitsap-1-l-141230PAK,2025-12-09 15:21:43,1.89,,1000.0,,,0.9,
Van de Boom Peer 1L,"€2,49",JA,,,,,https://www.jumbo.com/producten/van-de-boom-peer-1l-218501PAK,2025-12-09 15:21:46,2.49,,1000.0,,,0.7,
CoolBest 100% Juice Strawberry Hill 1 L,"€3,39",JA,,,,,https://www.jumbo.com/producten/coolbest-100-juice-strawberry-hill-1-l-420495PAK,2025-12-09 15:21:48,3.39,,1000.0,,,0.7,
DubbelDrank Sinaasappel & Perzik met Appel 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/dubbeldrank-sinaasappel-perzik-met-appel-1-l-166465PAK,2025-12-09 15:21:51,2.49,,1000.0,,,0.7,
"DubbelFrisss 1Kcal Sinaasappel - Spritzzz 1,5L","€2,89",JA,0.0 g,0.2 g,0.0 g,6 kJ/,"https://www.jumbo.com/producten/dubbelfrisss-1kcal-sinaasappel-spritzzz-1,5l-670385PAK",2025-12-09 15:21:54,2.89,0.0,1500.0,,,0.6,0.0
CoolBest 100% Juice Mango Dream 1 L,"€3,39",JA,0.3 g,10.5 g,0 g,194 kJ / 46 kcal,https://www.jumbo.com/producten/coolbest-100-juice-mango-dream-1-l-420500PAK,2025-12-09 15:21:56,3.39,0.3,1000.0,3.0,1.13,0.603,0.0
Pfanner B + C + E Wildberries 2 L,"€2,59",JA,"<0,5 g",10 g,"<0,5 g",185 kJ,https://www.jumbo.com/producten/pfanner-b-c-e-wildberries-2-l-608960PAK,2025-12-09 15:21:59,2.59,0.5,2000.0,10.0,0.259,0.605,0.0
DubbelDrank Ananas & Guave met Sinaasappel en Appel 1 L,"€2,49",JA,0.2 g,10.3 g,0 g,188 kJ,https://www.jumbo.com/producten/dubbeldrank-ananas-guave-met-sinaasappel-en-appel-1-l-166469PAK,2025-12-09 15:22:02,2.49,0.2,1000.0,2.0,1.245,0.602,0.0
Jumbo Vers Sap Sinaasappel & Mango 1 L,"€4,49",JA,"0,6 g","11,8 g","0,1 g",kJ 219 / kcal 52,https://www.jumbo.com/producten/jumbo-vers-sap-sinaasappel-mango-1-l-647397FLS,2025-12-09 15:22:04,4.49,0.6,1000.0,6.0,0.748333,0.806,0.0
Jumbo Vers Sap Sinaasappel & Mango 500ML,"€2,49",JA,"0,6 g","11,8 g","0,1 g",kJ 219 / kcal 52,https://www.jumbo.com/producten/jumbo-vers-sap-sinaasappel-mango-500ml-647410FLS,2025-12-09 15:22:07,2.49,0.6,500.0,3.0,0.83,0.806,0.0
Jumbo Fruitdrink Framboos met Appel 10 x 200ML,"€2,89",JA,"0,0 g","5,9 g","0,0 g",kJ 103,https://www.jumbo.com/producten/jumbo-fruitdrink-framboos-met-appel-10-x-200ml-441731PAK,2025-12-09 15:22:10,2.89,0.0,2000.0,,,0.8,0.0
CoolBest FruitDrink Orange 1L,"€2,39",JA,0.2 g,6.0 g,0.02 g,113.0 kJ,https://www.jumbo.com/producten/coolbest-fruitdrink-orange-1l-609191PAK,2025-12-09 15:22:12,2.39,0.2,1000.0,2.0,1.195,0.602,0.0
Appelsientje FruitDrink Rode Druif 1 L,"€1,99",JA,0.1 g,8.2 g,0.02 g,146.0 kJ,https://www.jumbo.com/producten/appelsientje-fruitdrink-rode-druif-1-l-608975PAK,2025-12-09 15:22:15,1.99,0.1,1000.0,1.0,1.99,0.601,0.0
CoolBest Protein Drink Mango 330ml,"€1,99",JA,6.2 g,7.4 g,0.0 g,256.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-mango-330ml-686188PAK,2025-12-09 15:22:18,1.99,6.2,330.0,20.46,0.097263,0.662,0.775
CoolBest FruitDrink Pineapple 1 L,"€2,29",JA,0.1 g,7.2 g,0.02 g,131.0 kJ,https://www.jumbo.com/producten/coolbest-fruitdrink-pineapple-1-l-609195PAK,2025-12-09 15:22:20,2.29,0.1,1000.0,1.0,2.29,0.601,0.0
Nakd. Protein Cocoa Hazelnut 3x45g,"€3,75",JA,16.1 g,32.6 g,21.7 g,1754.0 kJ,https://www.jumbo.com/producten/nakd-protein-cocoa-hazelnut-3x45g-645667DS,2025-12-09 15:22:23,3.75,16.1,135.0,21.735,0.172533,0.761,1.0
Jumbo Mueslireep Melkchocolade 6 Stuks,"€1,65",JA,7.3 g,49.5 g,12.9 g,kJ 1583,https://www.jumbo.com/producten/jumbo-mueslireep-melkchocolade-6-stuks-686540DS,2025-12-09 15:22:26,1.65,7.3,,,,0.873,0.0
BitesWeLove Bwl Chewy Oat Bar Chocolate 4 stuks,"€3,75",JA,9.0 g,36.0 g,16.0 g,1589.0 kJ,https://www.jumbo.com/producten/biteswelove-bwl-chewy-oat-bar-chocolate-4-stuks-686884PAK,2025-12-09 15:22:28,3.75,9.0,,,,0.64,0.7
Jumbo Mueslireep Naturel 6 Stuks,"€1,29",JA,6.9 g,50.4 g,7.7 g,kJ 1419,https://www.jumbo.com/producten/jumbo-mueslireep-naturel-6-stuks-686546DS,2025-12-09 15:22:31,1.29,6.9,,,,0.869,0.0
Jumbo Mueslireep Pure Chocolade 6 Stuks,"€1,79",JA,8.4 g,65.2 g,6.0 g,kJ 1305,https://www.jumbo.com/producten/jumbo-mueslireep-pure-chocolade-6-stuks-686529DS,2025-12-09 15:22:33,1.79,8.4,,,,0.884,0.7
Sultana Havermoutsticks Naturel,"€2,33",JA,,,,,https://www.jumbo.com/producten/sultana-havermoutsticks-naturel-610226DS,2025-12-09 15:22:36,2.33,,,,,0.65,
Jumbo Mueslireep Yoghurtsmaak & Rood Fruit 6 Stuks,"€2,25",JA,6.1 g,55.4 g,9.7 g,kJ 1533,https://www.jumbo.com/producten/jumbo-mueslireep-yoghurtsmaak-rood-fruit-6-stuks-686530DS,2025-12-09 15:22:39,2.25,6.1,,,,0.861,0.0
Jumbo Mueslireep Hazelnoot 6 Stuks,"€1,48",JA,7.1 g,45.1 g,12.3 g,kJ 1519,https://www.jumbo.com/producten/jumbo-mueslireep-hazelnoot-6-stuks-686545DS,2025-12-09 15:22:42,1.48,7.1,,,,0.871,0.0
Philadelphia protein cottage cheese,"€0,99",JA,11 g,3 g,2.5 g,337 kJ (80 kcal),https://www.ah.nl/producten/product/wi602293,2025-12-08 16:48:42,0.99,11.0,,,,0.71,1.0
Philadelphia Extra proteïne,"€3,19",JA,11 g,4.9 g,2.5 g,366 kJ (87 kcal),https://www.ah.nl/producten/product/wi518778/philadelphia-extra-protei%CC%88ne,2025-12-08 16:48:45,3.19,11.0,,,,0.71,0.7
AH Protein mousse chocoladesmaak,"€1,39",NEE,10 g,5 g,1.6 g,322 kJ (76 kcal),https://www.ah.nl/producten/product/wi556294/ah-protein-mousse-chocoladesmaak,2025-12-08 16:48:48,1.39,10.0,,,,0.7,1.0
AH Protein pudding karamelsmaak,"€1,29",NEE,10 g,5.5 g,1.5 g,321 kJ (76 kcal),https://www.ah.nl/producten/product/wi556292/ah-protein-pudding-karamelsmaak,2025-12-08 16:48:51,1.29,10.0,,,,0.7,1.0
AH Protein pudding chocoladesmaak,"€1,29",NEE,10 g,5.5 g,1.5 g,325 kJ (77 kcal),https://www.ah.nl/producten/product/wi556293/ah-protein-pudding-chocoladesmaak,2025-12-08 16:48:54,1.29,10.0,,,,0.7,1.0
Chocomel Protein,"€1,89",JA,8.4 g,4.8 g,0.5 g,252 kJ (60 kcal),https://www.ah.nl/producten/product/wi585881,2025-12-08 16:48:58,1.89,8.4,,,,0.684,1.0
AH Protein kwark met yoghurt perzik passie,"€1,29",NEE,12 g,3.5 g,0.4 g,280 kJ (66 kcal),https://www.ah.nl/producten/product/wi556288/ah-protein-kwark-met-yoghurt-perzik-passie,2025-12-08 16:49:04,1.29,12.0,,,,0.92,1.0
AH Protein pudding vanille smaak,"€1,29",NEE,10 g,5.5 g,1.5 g,319 kJ (76 kcal),https://www.ah.nl/producten/product/wi575532/ah-protein-pudding-vanille-smaak,2025-12-08 16:49:17,1.29,10.0,,,,0.7,1.0
AH Protein kwark met yoghurt framboos,"€1,29",NEE,13 g,3.4 g,0.4 g,297 kJ (70 kcal),https://www.ah.nl/producten/product/wi556289/ah-protein-kwark-met-yoghurt-framboos,2025-12-08 16:49:21,1.29,13.0,,,,0.93,1.0
