Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
CoolBest Protein Drink Strawberry 330ml,"€1,99",JA,6.2 g,7.0 g,0.0 g,247.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-strawberry-330ml-686186PAK,2025-12-09 15:40:52
HiPRO Protein Drink Mango 6 x 300 ml,"€14,94",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-6-x-300-ml-494984DSL,2025-12-09 15:40:55
CoolBest Protein Drink Mango 330ml,"€1,99",JA,6.2 g,7.4 g,0.0 g,256.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-mango-330ml-686188PAK,2025-12-09 15:40:57
CoolBest Protein Drink Passionfruit 330ml,"€1,99",JA,6.2 g,7.0 g,0.0 g,253.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-passionfruit-330ml-686196PAK,2025-12-09 15:41:00
Melkunie Protein Strawberry Vanilla Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-vanilla-yogurt-drink-330-ml-521731FLS,2025-12-09 15:41:02
Melkunie Protein Blueberry Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-blueberry-yogurt-drink-330-ml-521732FLS,2025-12-09 15:41:05
XXL Crunchy Protein Bar Coconut 60g,"€2,49",JA,,,,,https://www.jumbo.com/producten/xxl-crunchy-protein-bar-coconut-60g-703385RP,2025-12-09 15:41:08
HiPRO Protein Bar Caramel 45 g,"€1,99",JA,,,,,https://www.jumbo.com/producten/hipro-protein-bar-caramel-45-g-671845STK,2025-12-09 15:41:10
Barebells Protein Bar White Chocolate Almond 55 g,"€2,90",JA,36 g,29 g,15 g,1518 kJ,https://www.jumbo.com/producten/barebells-protein-bar-white-chocolate-almond-55-g-305433PAK,2025-12-09 15:41:13
Barebells Soft Protein Bar Caramel Choco 55 g,"€2,96",JA,28 g,31 g,17 g,1539 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-caramel-choco-55-g-630476PAK,2025-12-09 15:41:15
Barebells Protein Bar Caramel Cashew 55 g,"€2,96",JA,36 g,30 g,15 g,1535 kJ,https://www.jumbo.com/producten/barebells-protein-bar-caramel-cashew-55-g-524344PAK,2025-12-09 15:41:18
Barebells Soft Protein Bar Salty Chocolate 55 g,"€2,99",JA,28 g,33 g,16 g,1508 kJ,https://www.jumbo.com/producten/barebells-soft-protein-bar-salty-chocolate-55-g-630477PAK,2025-12-09 15:41:21
