Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Leitz Motiv sparkling white,"€11,49",NEE,,,,,https://www.ah.nl/producten/product/wi510896/leitz-motiv-sparkling-white,2025-12-09 14:06:05
Fontanafredda Moscato d'Asti bio,"€9,29",NEE,,,,,https://www.ah.nl/producten/product/wi99158/fontanafredda-moscato-d-asti-bio,2025-12-09 14:06:08
Ca' Marina Prosecco,"€13,29",JA,,,,,https://www.ah.nl/producten/product/wi154425/ca-marina-prosecco,2025-12-09 14:06:11
Hola! Barcelona organic rosé cava,"€7,59",NEE,0.4 g,1.5 g,0.4 g,368 kJ (89 kcal),https://www.ah.nl/producten/product/wi551418/hola-barcelona-organic-rose%CC%81-cava,2025-12-09 14:06:14
Viverty Sparkling wit alcoholvrij,"€5,29",NEE,0 g,5.5 g,0 g,99 kJ (24 kcal),https://www.ah.nl/producten/product/wi401917,2025-12-09 14:06:17
Castel Boglione Asti,"€5,49",NEE,,,,,https://www.ah.nl/producten/product/wi440891,2025-12-09 14:06:20
AH Excellent Bubbels in fles met goude suikerspin,"€9,48",NEE,,,,,https://www.ah.nl/producten/product/wi604441/ah-excellent-bubbels-in-fles-met-goude-suikerspin,2025-12-09 14:06:23
Faszination Hugo,"€2,55",NEE,,,,,https://www.ah.nl/producten/product/wi436936,2025-12-09 14:06:26
Weleda Milde reinigingsmousse,"€13,29",NEE,,,,,https://www.ah.nl/producten/product/wi433944/weleda-milde-reinigingsmousse,2025-12-09 14:06:29
Sarmentino Frizzante,"€4,85",NEE,,,,270 kJ (65 kcal),https://www.ah.nl/producten/product/wi436955,2025-12-09 14:06:33
Codorníu Clasico semi sec organic,"€7,99",NEE,,,,,https://www.ah.nl/producten/product/wi192808,2025-12-09 14:06:36
De Chanceny Vouvray Brut Excellence,"€11,96",JA,,,,,https://www.ah.nl/producten/product/wi374431/de-chanceny-vouvray-brut-excellence,2025-12-09 14:06:39
